job_category,skills,field_of_study
Electrical Engineer,3D Modelling | 3d modelling | AutoCAD | AutoCAD Electrical | Circuit Design | Commissioning | Communication | Critical Thinking | electrical design | Electrical Design | Maintenance | Mechanical Design | microsoft powerpoint | Microsoft Word | PLC | presentation skills | Presentation Skills | Preventive Maintenance | problem solving | Problem Solving | Project Management | project management | Quality Control | Root Cause Analysis | Safety Compliance | safety compliance | Teamwork | Technical Documentation | Testing | Time Management,Electrical Engineering
Mechanical Engineer,3D Modelling | adaptability | analytical thinking | attention to detail | AutoCAD | communication skills | Critical Thinking | Customer Service | Electrical Design | Maintenance | Manufacturing Process | manufacturing processes | Mechanical Design | mechanical design | multitasking | PLC | plc programming | presentation skills | Preventive Maintenance | Project Coordination | Quality Control | quality control | Root Cause Analysis | simulation software | Teamwork | Technical Drawing | Time Management | Troubleshooting,Mechanical Engineering
Customer Support Executive,adaptability | attention to detail | Communication | Counselling | customer service | Customer Service | electronic medical records | Emergency Response | Follow Up | Infection Control | infection control | leadership | Leadership | Live Chat | medical terminology | medication administration | Microsoft PowerPoint | Microsoft Word | multitasking | Patient Care | patient care | presentation skills | problem solving | Project Coordination | project coordination | Service Recovery | teamwork | Teamwork | Vital Signs Monitoring,Hospitality & Tourism
Finance & Accounting Executive,Accounts Payable | advanced excel | auditing | Auditing | Budgeting | Corporate Finance | costing | Costing | Critical Thinking | Excel | Financial Analysis | Financial Reporting | Forecasting | Microsoft Excel | Microsoft Word | Oracle Finance | Project Coordination | project coordination | SAP | Taxation | Time Management,Accounting & Finance
UI/UX Designer,adaptability | adobe photoshop | Adobe XD | attention to detail | branding | Critical Thinking | Figma | Illustrator | Information Architecture | Interaction Design | microsoft word | Presentation Skills | Responsive Design | teamwork | Time Management | typography | UI Design | Usability Testing | User Flow | User Research | Visual Design | wireframing | Wireframing,Graphic Design
Customer Support Executive,adaptability | attention to detail | Call Handling | Communication | communication skills | critical thinking | Critical Thinking | CRM System | Customer Service | Email Support | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Presentation Skills | problem solving | Problem Solving | Project Coordination | Teamwork | time management | Time Management,Business Administration
Chemical Engineer,3D Modelling | Communication | Critical Thinking | Customer Service | Electrical Design | Laboratory Testing | Leadership | Mechanical Design | Microsoft PowerPoint | Microsoft Word | P&ID | Plant Operation | Presentation Skills | Problem Solving | Process Control | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | Safety Management | Simulation | SolidWorks | Teamwork,Chemical Engineering
Supply Chain Executive,A/B Testing | Data Visualization | Deep Learning | Delivery Coordination | Demand Forecasting | ERP | machine learning | Machine Learning | Microsoft Word | Pandas | problem solving | PyTorch | R | Shipping | Statistics | tableau | Teamwork | TensorFlow | Time Series Analysis,Business Administration
Mechanical Engineer,AutoCAD | Communication | Critical Thinking | Customer Service | Electrical Design | Leadership | Manufacturing Process | Mechanical Design | Microsoft PowerPoint | Microsoft Word | PLC | Preventive Maintenance | Problem Solving | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | SolidWorks | Teamwork | Technical Documentation | Time Management | Troubleshooting,Mechanical Engineering
Data Scientist,adaptability | Communication | Critical Thinking | Customer Service | Jupyter Notebook | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | NumPy | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | Scikit-Learn | Teamwork | Time Management | Time Series Analysis,Statistics
Supply Chain Executive,Big Data | Communication | Critical Thinking | Customer Service | Data Cleaning | Data Visualization | Data Warehousing | Deep Learning | ERP | Excel | Inventory Management | Leadership | Microsoft Word | Order Processing | Pandas | Procurement | Python | PyTorch | R | Regression | Spark | Tableau | Time Management | Time Series Analysis,Logistics
Graphic Designer,Adobe Illustrator | Adobe InDesign | Adobe Photoshop | Branding | Communication | Creative Thinking | Critical Thinking | Customer Service | Design Systems | figma | Illustrator | Interaction Design | multitasking | Print Design | Responsive Design | Social Media Design | time management | Time Management | typography | usability testing | User Research | Visual Design,Graphic Design
Teacher / Lecturer,Assessment | Assessment Design | Classroom Management | Communication | counselling | Counselling | critical thinking | Critical Thinking | Curriculum Development | Customer Service | educational technology | Learning Materials Development | Lesson Planning | Microsoft PowerPoint | Microsoft Word | Online Teaching | Problem Solving | Project Coordination | Record Keeping | Student Engagement | Teaching | teamwork | Teamwork | Time Management,Education
Hospitality & Tourism Executive,basic life support | Check In | Clinical Procedures | Counselling | Customer Service | Electronic Medical Records | electronic medical records | Emergency Response | Front Office | Guest Service | Health Education | Infection Control | infection control | Medical Terminology | Microsoft PowerPoint | microsoft word | multitasking | Patient Care | Phlebotomy | Presentation Skills | Problem Solving | Project Coordination | project coordination | Reservation | teamwork | Teamwork | Time Management | Vital Signs Monitoring,Business Administration
Graphic Designer,Adobe InDesign | Adobe Photoshop | Branding | branding | color theory | Creative Thinking | critical thinking | Figma | illustrator | Layout Design | Logo Design | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | presentation skills | Presentation Skills | prototyping | Prototyping | responsive design | Responsive Design | Social Media Design | time management | Typography | ui design | visual design,Multimedia
DevOps Engineer,analytical thinking | api integration | Azure | cloud deployment | Cloud Deployment | Communication | Critical Thinking | Customer Service | Docker | express.js | Git | Infrastructure as Code | Java | Kubernetes | kubernetes | Microsoft Word | MySQL | Node.js | nosql | PostgreSQL | Python | Scrum | Shell Scripting | Spring Boot | Teamwork | unit testing | Unit Testing,Software Engineering
Project Manager,adaptability | attention to detail | Budgeting | Communication | critical thinking | Critical Thinking | Customer Service | Leadership | Microsoft PowerPoint | Microsoft Project | Microsoft Word | Presentation Skills | Problem Solving | Project Coordination | Project Planning | Reporting | Risk Management | Scheduling | Scrum | Teamwork | Time Management,Management
Cybersecurity Analyst,Access Control | Communication | Critical Thinking | Customer Service | Incident Response | Leadership | Microsoft PowerPoint | Microsoft Word | multitasking | Network Security | Penetration Testing | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | Teamwork | Time Management | Vulnerability Assessment,Information Technology
Civil Engineer,adaptability | analytical thinking | attention to detail | AutoCAD | Communication | communication skills | Construction Management | Critical Thinking | Customer Service | Drawing Review | Health and Safety | Mechanical Design | mechanical design | microsoft powerpoint | presentation skills | Preventive Maintenance | Problem Solving | Project Coordination | Project Management | Safety Compliance | Simulation | Site Supervision | SolidWorks | Structural Design | Time Management,Civil Engineering
Supply Chain Executive,data cleaning | Data Warehousing | data warehousing | Delivery Coordination | Demand Forecasting | ERP | etl | excel | leadership | numpy | Pandas | Power BI | Problem Solving | Procurement | python | pytorch | Regression | Shipping | statistical modelling | statistics | Teamwork | Vendor Management,Supply Chain Management
Pharmacist,basic life support | clinical procedures | Critical Thinking | Customer Service | Dispensing | Drug Information | Emergency Response | emergency response | infection control | Inventory Management | Leadership | Medical Terminology | Medication Administration | Medication Counselling | Microsoft Word | multitasking | OTC Recommendation | patient care | Pharmacy Management | Prescription Review | Presentation Skills | Problem Solving | Project Coordination | Vital Signs Monitoring | wound care,Pharmacy
Finance & Accounting Executive,Accounting | Auditing | Bank Reconciliation | Budgeting | Cash Flow Management | Corporate Finance | Costing | Critical Thinking | Excel | Financial Analysis | Financial Reporting | Forecasting | Leadership | Microsoft PowerPoint | Microsoft Word | Oracle Finance | Presentation Skills | Problem Solving | Project Coordination | Reconciliation | Risk Management | SAP | Taxation | Teamwork,Accounting & Finance
Software Engineer,attention to detail | C# | CI/CD | Cloud Deployment | communication skills | Express.js | Java | JavaScript | Kubernetes | Microservices | Microsoft PowerPoint | Microsoft Word | MongoDB | OOP | Problem Solving | Project Coordination | project coordination | Python | React | Scrum | spring boot | SQL | Time Management | TypeScript | Unit Testing,Information Technology
Nurse,attention to detail | Communication | Critical Thinking | Customer Service | Electronic Medical Records | Emergency Response | Health Education | Infection Control | Leadership | Medical Terminology | Medication Administration | Microsoft Word | Patient Care | Presentation Skills | Project Coordination | Record Keeping | Teamwork | Vital Signs | Vital Signs Monitoring | Wound Care,Nursing
Pharmacist,Clinical Procedures | Communication | counselling | Customer Service | Dispensing | Drug Information | Electronic Medical Records | Emergency Response | Infection Control | Inventory Management | Leadership | Medical Terminology | Medication Administration | Medication Counselling | Microsoft PowerPoint | OTC Recommendation | Patient Care | Pharmacy Management | Prescription Review | Project Coordination | Time Management | Vital Signs Monitoring,Pharmacy
Business Analyst,adaptability | analytical thinking | Business Process Modelling | Communication | communication skills | critical thinking | Critical Thinking | Customer Service | Documentation | Functional Specification | leadership | Leadership | Microsoft PowerPoint | microsoft word | Microsoft Word | Presentation Skills | Problem Solving | Process Improvement | Project Coordination | project coordination | Requirements Gathering | Teamwork | Time Management | User Stories,Business Information Systems
Chemical Engineer,3D Modelling | AutoCAD | Communication | critical thinking | Critical Thinking | Customer Service | Microsoft PowerPoint | microsoft word | multitasking | Plant Operation | Presentation Skills | preventive maintenance | Process Control | Process Design | Quality Control | Root Cause Analysis | Safety Compliance | Safety Management | Simulation | solidworks | technical documentation | Time Management | Troubleshooting,Chemical Engineering
Project Manager,adaptability | Agile | analytical thinking | Budgeting | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Project | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Reporting | Scheduling | Team Management | teamwork | Teamwork | Time Management,Information Technology
Web Developer,analytical thinking | Backend Development | Cross Browser Testing | CSS | Frontend Development | Java | Leadership | Microservices | Node.js | nosql | OOP | PostgreSQL | postgresql | Python | React | Responsive Design | Scrum | Spring Boot | Teamwork | Time Management | unit testing | Vue.js | Web Accessibility,Multimedia
Customer Support Executive,adaptability | Communication | Complaint Handling | Critical Thinking | Customer Service | Email Support | Follow Up | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | Presentation Skills | Problem Solving | Project Coordination | project coordination | Service Recovery | Teamwork | Time Management,Mass Communication
Project Manager,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | customer service | Customer Service | leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Project Planning | Reporting | Scheduling | Team Management | teamwork | Teamwork | time management | Time Management,Management
Teacher / Lecturer,Assessment | campaign management | Classroom Management | Communication | Copywriting | Counselling | CRM | Influencer Marketing | Instagram Marketing | Lesson Planning | Microsoft Word | Presentation Skills | Problem Solving | Public Relations | Record Keeping | SEO | Student Engagement | Teaching Materials,Marketing
HR Specialist,Communication | communication skills | Compensation & Benefits | Conflict Resolution | critical thinking | employee engagement | Employee Engagement | employee relations | HRIS | hris | interviewing | Interviewing | labour law | Labour Law | leadership | Leadership | microsoft word | Onboarding | Payroll | payroll | Performance Management | presentation skills | Presentation Skills | Recruitment | talent acquisition | talent management | Teamwork | Time Management | Training & Development | training and development,Psychology
DevOps Engineer,Azure | C# | c++ | cloud deployment | Communication | Customer Service | Express.js | Git | Infrastructure as Code | Java | Jenkins | Kubernetes | node.js | postgresql | Python | rest api | Spring Boot | System Administration | time management | typescript | TypeScript,Information Technology
Data Scientist,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | leadership | Leadership | Machine Learning | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | Model Evaluation | Natural Language Processing | NumPy | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | teamwork | Teamwork | time management | Time Management | Time Series Analysis,Computer Science
DevOps Engineer,adaptability | Automation | AWS | C++ | CI/CD | ci/cd pipeline | Docker | Express.js | Git | Leadership | Linux | Node.js | NoSQL | Problem Solving | project coordination | rest api | Spring Boot | SQL | System Administration,Information Technology
Cybersecurity Analyst,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | Customer Service | Incident Response | Leadership | Malware Analysis | Microsoft PowerPoint | microsoft word | Microsoft Word | multitasking | Penetration Testing | Presentation Skills | Problem Solving | Project Coordination | Risk Assessment | SIEM | teamwork | Teamwork | time management | Time Management,Computer Science
Supply Chain Executive,a/b testing | Big Data | Clustering | Data Cleaning | data warehousing | Delivery Coordination | Demand Forecasting | ERP | Leadership | Logistics | Machine Learning | Microsoft PowerPoint | Problem Solving | R | statistical modelling | Time Series Analysis | Vendor Management | Warehouse Management,Supply Chain Management
Data Scientist,adaptability | communication skills | Critical Thinking | customer service | Customer Service | Data Preprocessing | Jupyter Notebook | leadership | Leadership | Machine Learning | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | Pandas | presentation skills | Presentation Skills | Problem Solving | Project Coordination | project coordination | Python | Scikit-Learn | teamwork | Teamwork | TensorFlow | time management | Time Management,Artificial Intelligence
Pharmacist,analytical thinking | attention to detail | Clinical Procedures | Drug Information | Electronic Medical Records | Infection Control | Inventory Management | medication administration | Medication Counselling | Microsoft Word | multitasking | OTC Recommendation | Pharmacy Management | Prescription Review | problem solving | Project Coordination | project coordination | Teamwork,Pharmacy
Graphic Designer,Adobe Illustrator | Adobe Photoshop | Adobe XD | Branding | Communication | Critical Thinking | Customer Service | Interaction Design | Leadership | Microsoft Word | Presentation Skills | Problem Solving | Project Coordination | Prototyping | Responsive Design | Social Media Design | Teamwork | Time Management | Typography | Usability Testing | User Research | UX Design | Visual Design | Wireframing,Graphic Design
Mobile App Developer,Agile | API Integration | communication skills | Critical Thinking | Customer Service | design patterns | Express.js | iOS | JavaScript | Kotlin | Kubernetes | Leadership | Microservices | Mobile Testing | Mobile UI | MongoDB | NoSQL | nosql | OOP | PostgreSQL | presentation skills | problem solving | Project Coordination | Python | Spring Boot | typescript | TypeScript | Unit Testing,Software Engineering
Pharmacist,Counselling | Customer Service | Dispensing | electronic medical records | Emergency Response | infection control | Inventory Management | Leadership | Medical Terminology | Medication Counselling | Microsoft Word | OTC Recommendation | Pharmacy Management | Phlebotomy | problem solving | Problem Solving | Project Coordination | Time Management | Vital Signs Monitoring,Pharmacy
Chemical Engineer,3d modelling | adaptability | analytical thinking | autocad | AutoCAD | Communication | critical thinking | electrical design | Microsoft PowerPoint | microsoft powerpoint | Plant Operation | preventive maintenance | Preventive Maintenance | Process Control | Process Design | project management | Quality Control | quality control | root cause analysis | Root Cause Analysis | Safety Management | Simulation | solidworks | teamwork | technical documentation | time management | Troubleshooting,Chemical Engineering
HR Specialist,Communication | Compensation & Benefits | Conflict Resolution | Critical Thinking | Customer Service | exit interview | HR Policies | HRIS | Interviewing | Leadership | Microsoft PowerPoint | Microsoft Word | Onboarding | Payroll | payroll | Performance Management | Presentation Skills | Problem Solving | Project Coordination | Recruitment | Time Management | Training & Development,Business Administration
Pharmacist,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | customer service | Customer Service | Dispensing | Drug Information | electronic medical records | health education | infection control | Inventory Management | Medication Administration | Medication Counselling | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | OTC Recommendation | patient care | Phlebotomy | phlebotomy | Prescription Review | presentation skills | teamwork | Teamwork | vital signs monitoring | wound care,Pharmacy
Pharmacist,Clinical Procedures | Counselling | Critical Thinking | Customer Service | Dispensing | Health Education | Infection Control | Inventory Management | Leadership | Medical Terminology | Medication Administration | Medication Counselling | Microsoft Word | OTC Recommendation | Patient Care | Pharmacy Management | Phlebotomy | Presentation Skills | Problem Solving | Project Coordination | Teamwork | Time Management | Vital Signs Monitoring,Pharmacy
Nurse,adaptability | basic life support | Communication | communication skills | critical thinking | Customer Service | Health Education | Infection Control | Medical Terminology | Medication Administration | Microsoft PowerPoint | patient care | Patient Care | Presentation Skills | Record Keeping | Teamwork | Time Management | Vital Signs,Nursing
HR Specialist,Communication | Compensation & Benefits | Conflict Resolution | Critical Thinking | Customer Service | Employee Engagement | Employee Relations | HR Policies | HRIS | Interviewing | Labour Law | Leadership | Microsoft PowerPoint | Microsoft Word | Onboarding | Payroll | Performance Management | Presentation Skills | Problem Solving | Project Coordination | Recruitment | Talent Acquisition | Teamwork | Time Management,Psychology
HR Specialist,Communication | communication skills | conflict resolution | critical thinking | Critical Thinking | customer service | employee engagement | Employee Engagement | Employee Relations | employee relations | exit interview | HR Policies | hr policies | HRIS | hris | Interviewing | Leadership | microsoft word | Onboarding | Performance Management | Presentation Skills | project coordination | Talent Acquisition | time management | Training & Development | Training and Development,Psychology
Teacher / Lecturer,api integration | Assessment | ci/cd pipeline | Classroom Management | Code Review | code review | Communication | Counselling | JavaScript | microservices | microsoft word | mongodb | multitasking | mysql | Node.js | object oriented programming | Online Teaching | project coordination | Record Keeping | scrum | Spring Boot | sql | Student Engagement | TypeScript | Unit Testing,Software Engineering
Data Scientist,analytical thinking | classification models | clustering | Data Preprocessing | data visualization | data warehousing | Deep Learning | Feature Engineering | hypothesis testing | Machine Learning | Model Evaluation | Pandas | presentation skills | project coordination | Python | PyTorch | Regression | Statistics | tableau | TensorFlow | tensorflow | time management | Time Series Analysis,Data Science
Web Developer,Angular | Critical Thinking | Cross Browser Testing | CSS | Express.js | HTML | javascript | Leadership | microsoft word | Node.js | object oriented programming | OOP | PHP | python | REST API | Scrum | Teamwork | typescript | UI Implementation,Multimedia
Graphic Designer,Adobe InDesign | Branding | Figma | Illustrator | Interaction Design | interaction design | Leadership | Microsoft Word | Presentation Skills | Print Design | Problem Solving | Project Coordination | project coordination | prototyping | Social Media Design | Typography | ui design | UI Design | Usability Testing | wireframing,Multimedia
Project Manager,Budgeting | Communication | communication skills | critical thinking | Critical Thinking | Customer Service | Leadership | Microsoft PowerPoint | microsoft word | Microsoft Word | presentation skills | Presentation Skills | Problem Solving | Project Coordination | Risk Management | Scheduling | Scrum | Teamwork | time management | Time Management,Management
Business Analyst,adaptability | Business Process Modelling | Communication | communication skills | critical thinking | Critical Thinking | customer service | Data Analysis | Functional Specification | Microsoft PowerPoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | teamwork | Time Management | User Stories,Information Systems
Nurse,attention to detail | basic life support | clinical procedures | Communication | communication skills | counselling | CPR | critical thinking | Customer Service | Electronic Medical Records | electronic medical records | Health Education | infection control | leadership | medical terminology | Medication Administration | microsoft word | multitasking | Patient Care | phlebotomy | Presentation Skills | Problem Solving | project coordination | Record Keeping | teamwork | Teamwork | time management | Vital Signs | wound care | Wound Care,Nursing
Data Scientist,analytical thinking | attention to detail | Communication | communication skills | Critical Thinking | Customer Service | Data Preprocessing | Leadership | Microsoft PowerPoint | microsoft word | Microsoft Word | Model Evaluation | multitasking | NumPy | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Scikit-Learn | Teamwork | Time Management,Artificial Intelligence
Electrical Engineer,3D Modelling | Circuit Design | Commissioning | Communication | critical thinking | Customer Service | leadership | Leadership | Mechanical Design | Microsoft PowerPoint | Microsoft Word | PLC | Presentation Skills | Problem Solving | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | Simulation | solidworks | SolidWorks | teamwork | Teamwork | technical documentation | Technical Documentation | Testing | Time Management | Wiring Diagram,Mechatronics
Electrical Engineer,3D Modelling | adaptability | analytical thinking | autocad | AutoCAD | Communication | Critical Thinking | Instrumentation | Leadership | manufacturing processes | PLC | plc programming | Power Systems | preventive maintenance | Preventive Maintenance | Problem Solving | Project Management | Quality Control | Safety Compliance | Technical Documentation | Testing | Wiring Diagram,Electronics Engineering
Civil Engineer,3D Modelling | AutoCAD | Communication | Critical Thinking | Customer Service | Drawing Review | electrical design | Electrical Design | Health and Safety | Leadership | manufacturing processes | Mechanical Design | mechanical design | Microsoft PowerPoint | Microsoft Word | PLC | Presentation Skills | Problem Solving | Project Coordination | Quality Control | Root Cause Analysis | Site Supervision | SolidWorks | Teamwork | time management,Civil Engineering
Customer Support Executive,analytical thinking | attention to detail | Call Handling | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | Email Support | Follow Up | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Service Recovery | Teamwork | time management | Time Management,Business Administration
Data Analyst,A/B Testing | analytical thinking | attention to detail | Clustering | Communication | Dashboard | Data Cleaning | Data Visualization | deep learning | Deep Learning | Descriptive Statistics | ETL | Excel | Feature Engineering | Leadership | Microsoft PowerPoint | Microsoft Word | NumPy | Power BI | Presentation Skills | Project Coordination | Python | Regression | SQL | statistical modelling | Tableau | time series analysis,Information Technology
Digital Marketing Specialist,Adobe Photoshop | Brand Awareness | Campaign Management | Canva | Content Marketing | Copywriting | Critical Thinking | CRM | Customer Service | Digital Marketing | Email Marketing | Google Ads | Google Analytics | Influencer Marketing | Project Coordination | SEO | Social Media Marketing | Storytelling,Marketing
Cybersecurity Analyst,adaptability | Communication | Critical Thinking | customer service | Customer Service | Firewalls | Leadership | Malware Analysis | Microsoft PowerPoint | Microsoft Word | multitasking | Network Security | Penetration Testing | presentation skills | Presentation Skills | Problem Solving | Project Coordination | Security Policies | Teamwork | Time Management | Vulnerability Assessment,Computer Science
Chemical Engineer,3D Modelling | Critical Thinking | Customer Service | Electrical Design | Leadership | Mechanical Design | Microsoft PowerPoint | Microsoft Word | multitasking | P&ID | Plant Operation | Presentation Skills | Preventive Maintenance | Problem Solving | Process Control | Process Design | Project Coordination | Project Management | Quality Control | quality control | Root Cause Analysis | Teamwork | Technical Documentation | Time Management,Chemical Engineering
Electrical Engineer,3D Modelling | AutoCAD | Circuit Design | Customer Service | Electrical Design | Instrumentation | Leadership | Mechanical Design | Microsoft PowerPoint | PLC | presentation skills | Presentation Skills | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | SolidWorks | Teamwork | Technical Documentation | Testing | Time Management,Electronics Engineering
Finance & Accounting Executive,accounting | Accounting | Accounts Payable | adaptability | Auditing | bank reconciliation | cash flow management | Communication | corporate finance | Corporate Finance | Costing | critical thinking | Financial Analysis | Financial Reporting | financial reporting | Forecasting | leadership | Leadership | Microsoft Word | multitasking | oracle finance | presentation skills | problem solving | Problem Solving | profit and loss analysis | risk management | SAP | sap finance | time management | Time Management,Business Administration
Mechanical Engineer,adaptability | Communication | Critical Thinking | Customer Service | Electrical Design | Leadership | Maintenance | Manufacturing Process | mechanical design | Mechanical Design | plc programming | Project Coordination | Quality Control | root cause analysis | Root Cause Analysis | SolidWorks | teamwork | technical documentation,Mechanical Engineering
Electrical Engineer,AutoCAD | Circuit Design | Communication | Control Systems | Electrical Design | Instrumentation | Leadership | Microsoft Word | PLC | Presentation Skills | Preventive Maintenance | Problem Solving | Project Management | Quality Control | Safety Compliance | simulation software | Teamwork | Testing | Time Management | Troubleshooting,Electrical Engineering
Civil Engineer,adaptability | autocad | AutoCAD | Bill of Quantities | communication skills | Concrete | Critical Thinking | customer service | Health and Safety | hvac design | leadership | manufacturing processes | Mechanical Design | mechanical design | PLC | Project Management | Simulation | simulation software | solidworks | Structural Design | teamwork | Teamwork | Tendering,Civil Engineering
Web Developer,agile | api integration | CI/CD | clean code | Cloud Deployment | Communication | critical thinking | design patterns | express.js | Git | HTML | java | javascript | Microsoft Word | MongoDB | MySQL | NoSQL | nosql | postgresql | React | REST API | teamwork | time management | version control | Vue.js,Information Technology
Data Scientist,adaptability | analytical thinking | Communication | Critical Thinking | Customer Service | Data Preprocessing | Feature Engineering | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | Model Evaluation | multitasking | NumPy | Pandas | Presentation Skills | problem solving | Problem Solving | Project Coordination | Statistics | teamwork | Teamwork | TensorFlow | time management | Time Management,Artificial Intelligence
Electrical Engineer,3d modelling | adaptability | autocad | AutoCAD Electrical | Circuit Design | Commissioning | critical thinking | Critical Thinking | electrical design | Electrical Design | hvac design | Maintenance | manufacturing processes | Mechanical Design | mechanical design | microsoft powerpoint | Microsoft Word | plc programming | preventive maintenance | Preventive Maintenance | quality control | Safety Compliance | safety compliance | simulation software | Technical Documentation | time management | Troubleshooting,Electronics Engineering
Digital Marketing Specialist,adobe photoshop | Canva | Content Marketing | copywriting | Copywriting | Customer Service | email marketing | facebook ads | Google Ads | Google Analytics | Influencer Marketing | leadership | Leadership | multitasking | Presentation Skills | Problem Solving | Public Relations | SEM | Social Media Marketing | Teamwork | tiktok marketing | time management | Time Management,Mass Communication
Hospitality & Tourism Executive,Cashiering | Clinical Procedures | Communication | Customer Service | Event Coordination | Food and Beverage | Front Office | Guest Service | health education | Health Education | Infection Control | medical terminology | Medical Terminology | Microsoft PowerPoint | Microsoft Word | multitasking | Patient Care | problem solving | Project Coordination | Reservation | Time Management | Vital Signs Monitoring,Business Administration
Mobile App Developer,Agile | Android Studio | App Store Deployment | Communication | critical thinking | Critical Thinking | Customer Service | Debugging | Docker | express.js | Express.js | Java | kubernetes | Microsoft Word | MongoDB | MVVM | postgresql | Scrum | Teamwork | time management | Time Management,Computer Science
Cybersecurity Analyst,Access Control | adaptability | analytical thinking | Communication | communication skills | critical thinking | Critical Thinking | customer service | Firewalls | Microsoft Word | multitasking | Network Security | Penetration Testing | presentation skills | Presentation Skills | project coordination | Risk Assessment | Security Audit | Security Policies | Time Management,Cybersecurity
Civil Engineer,3D Modelling | 3d modelling | AutoCAD | Bill of Quantities | Construction Management | Critical Thinking | Customer Service | Drawing Review | Electrical Design | Leadership | mechanical design | Microsoft PowerPoint | PLC | Project Coordination | project coordination | Root Cause Analysis | Site Supervision | SolidWorks | Structural Design | Teamwork | Technical Documentation | Tendering | Time Management,Civil Engineering
UI/UX Designer,adaptability | Adobe Photoshop | adobe xd | Branding | branding | Communication | Design System | Figma | Information Architecture | Interaction Design | microsoft word | multitasking | presentation skills | Prototyping | responsive design | teamwork | time management | UI Design | User Flow | User Research | ux design | UX Design | Wireframing,Graphic Design
DevOps Engineer,adaptability | Ansible | Azure | CI/CD | ci/cd pipeline | clean code | code review | debugging | design patterns | Docker | docker | Infrastructure as Code | java | Jenkins | Kubernetes | Microservices | microsoft powerpoint | mongodb | multitasking | node.js | Node.js | nosql | presentation skills | Problem Solving | Python | python | System Administration | typescript,Information Technology
Mobile App Developer,analytical thinking | attention to detail | c++ | ci/cd pipeline | code review | communication skills | Critical Thinking | Debugging | Flutter | Java | kubernetes | Microsoft PowerPoint | Microsoft Word | Mobile Testing | multitasking | MVVM | nosql | object oriented programming | Play Store Deployment | postgresql | presentation skills | problem solving | project coordination | Push Notifications | React | rest api | spring boot | Teamwork | typescript | version control,Computer Science
Chemical Engineer,3D Modelling | AutoCAD | Communication | Critical Thinking | Customer Service | Laboratory Testing | Mechanical Design | Microsoft Word | P&ID | Plant Operation | PLC | Presentation Skills | Problem Solving | Process Control | Project Management | Quality Control | Root Cause Analysis | Simulation | SolidWorks | Technical Documentation | Time Management | Troubleshooting,Chemical Engineering
Civil Engineer,3d modelling | adaptability | analytical thinking | autocad | AutoCAD | Bill of Quantities | communication skills | Concrete | Construction Management | critical thinking | customer service | Customer Service | Health and Safety | hvac design | leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | PLC | preventive maintenance | quality control | root cause analysis | Site Supervision | solidworks | Structural Design | teamwork | technical documentation | Tendering,Civil Engineering
Electrical Engineer,attention to detail | AutoCAD | AutoCAD Electrical | Circuit Design | Commissioning | Critical Thinking | Customer Service | electrical design | hvac design | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | PLC | Project Coordination | Project Management | quality control | Root Cause Analysis | Safety Compliance | safety compliance | Simulation | SolidWorks | Teamwork | Testing | Time Management | Troubleshooting | Wiring Diagram,Electrical Engineering
